title,author,average_rating,number_of_ratings,genres
Flowers for Algernon,Daniel Keyes,4.19,"614,176","['Fiction', 'Classics', 'Science Fiction', 'Young Adult', 'Psychology', 'Literature', 'School']"
"Oh, the Places You'll Go!",Dr. Seuss,4.36,"387,581","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult']"
Anna Karenina,Leo Tolstoy,4.08,"799,913","['Classics', 'Fiction', 'Romance', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature']"
Tuesdays with Morrie,Mitch Albom,4.16,"954,913","['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Inspirational', 'Philosophy', 'Self Help']"
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,4.35,"313,861","['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Middle Grade', 'Audiobook']"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.38,"2,686,920","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'High Fantasy', 'Science Fiction Fantasy', 'Epic Fantasy']"
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.09,"1,302,806","['Classics', 'Fiction', 'Science Fiction', 'War', 'Historical Fiction', 'Literature', 'Novels']"
The Old Man and the Sea,Ernest Hemingway,3.8,"1,060,714","['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure']"
Catch-22,Joseph Heller,3.99,"804,276","['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels']"
The Scarlet Letter,Nathaniel Hawthorne,3.43,"825,467","['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'High School', 'Historical']"
Macbeth,William Shakespeare,3.9,"839,821","['Classics', 'Plays', 'Fiction', 'School', 'Drama', 'Read For School', 'Literature']"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.64,"6,158,643","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Vampires', 'Paranormal', 'Paranormal Romance']"
