title,author,gender,birth_year,age,language,first_published,sales,genres
The Celestine Prophecy,James Redfield,M,1950,43,English,1993,23,"['Fiction', 'Spirituality', 'Philosophy', 'Self Help', 'New Age', 'Fantasy', 'Religion']"
Pride and Prejudice,Jane Austen,F,1775,38,English,1813,20,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'British Literature', 'Novels']"
The Poky Little Puppy,Janette Sebring Lowrey,F,1892,50,English,1942,15,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Animals', 'Dogs', 'Kids']"
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,M,1883,40,Czech,1923,20,"['Fiction', 'Classics', 'Czech Literature', 'Humor', 'War', 'Historical Fiction', 'Literature']"
Kane and Abel,Jeffrey Archer,M,1940,39,English,1979,37,"['Fiction', 'Historical Fiction', 'Thriller', 'Drama', 'Classics', 'Historical', 'Novels']"
Interpreter of Maladies,Jhumpa Lahiri,F,1967,33,English,2000,15,"['Short Stories', 'Fiction', 'India', 'Contemporary', 'Literary Fiction', 'Literature', 'Indian Literature']"
Wolf Totem (狼图腾),Jiang Rong,M,1946,58,Chinese,2004,20,"['Fiction', 'China', 'Historical Fiction', 'Asia', 'Chinese Literature', 'Novels', 'Animals']"
Heidi,Johanna Spyri,F,1827,53,German,1880,50,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Historical']"
The Boy in the Striped Pyjamas,John Boyne,M,1971,35,English,2006,11,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'Holocaust', 'War']"
The Fault in Our Stars,John Green,M,1977,35,English,2012,23,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age']"
The Grapes of Wrath,John Steinbeck,M,1902,37,English,1939,15,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'School', 'American']"
Me Before You,Jojo Moyes,F,1969,43,English,2012,12,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Adult Fiction', 'Audiobook']"
Catch-22,Joseph Heller,M,1923,38,English,1961,10,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels']"
Sophie's World (Sofies verden),Jostein Gaarder,M,1952,39,Norwegian,1991,40,"['Philosophy', 'Fiction', 'Classics', 'Young Adult', 'Novels', 'Fantasy', 'Literature']"
The Gruffalo,Julia Donaldson,F,1948,51,English,1999,10.5,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Fantasy', 'Poetry', 'Storytime']"
Wild Swans,Jung Chang,F,1952,40,English,1992,10,"['Nonfiction', 'History', 'China', 'Biography', 'Memoir', 'Asia', 'Historical']"
The Prophet,Kahlil Gibran,M,1883,40,English,1923,11,"['Poetry', 'Classics', 'Philosophy', 'Fiction', 'Spirituality', 'Religion', 'Literature']"
The Help,Kathryn Stockett,F,1969,40,English,2009,10,"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Classics', 'Contemporary']"
The Pillars of the Earth,Ken Follett,M,1949,40,English,1989,15,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook']"
Eye of the Needle,Ken Follett,M,1949,29,English,1978,10,"['Fiction', 'Historical Fiction', 'Thriller', 'Mystery', 'Espionage', 'Suspense', 'War']"
The Wind in the Willows,Kenneth Grahame,M,1859,49,English,1908,25,"['Fiction', 'Fantasy', 'Childrens', 'Classics', 'Animals', 'Young Adult', 'Adventure']"
The Kite Runner,Khaled Hosseini,M,1965,38,English,2003,31.5,"['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Novels', 'Historical', 'Literature']"
War and Peace (Война и мир),Leo Tolstoy,M,1828,41,Russian,1869,36,"['Classics', 'Fiction', 'Historical Fiction', 'Russia', 'Russian Literature', 'Literature', 'War']"
Ben-Hur: A Tale of the Christ,Lew Wallace,M,1827,53,English,1880,50,"['Classics', 'Historical Fiction', 'Fiction', 'Christian', 'Historical', 'Christian Fiction', 'Religion']"
The Giver,Lois Lowry,F,1937,56,English,1993,12,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']"
You Can Heal Your Life,Louise Hay,F,1926,58,English,1984,50,"['Self Help', 'Nonfiction', 'Spirituality', 'Health', 'Psychology', 'Personal Development', 'Inspirational']"
Anne of Green Gables,Lucy Maud Montgomery,F,1874,34,English,1908,50,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Audiobook']"
A Wrinkle in Time,Madeleine L'Engle,F,1918,44,English,1962,14,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']"
The Total Woman,Marabel Morgan,F,1937,37,English,1974,10,[]
Gone with the Wind,Margaret Mitchell,F,1900,36,English,1936,30,"['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature']"
Goodnight Moon,Margaret Wise Brown,F,1910,37,English,1947,16,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals']"
The Women's Room,Marilyn French,F,1929,48,English,1977,20,"['Fiction', 'Feminism', 'Classics', 'Womens', 'Novels', 'Contemporary', 'Literature']"
The Godfather,Mario Puzo,M,1920,49,English,1969,21,"['Fiction', 'Classics', 'Crime', 'Thriller', 'Historical Fiction', 'Mystery', 'Novels']"
The Subtle Art of Not Giving a Fuck,Mark Manson,M,1984,32,English,2016,10,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Personal Development', 'Philosophy', 'Business']"
Adventures of Huckleberry Finn,Mark Twain,M,1835,50,English,1885,20,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Young Adult', 'Adventure', 'School']"
The Book Thief,Markus Zusak,M,1975,30,English,2005,16,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II']"
Where the Wild Things Are,Maurice Sendak,M,1928,35,English,1963,20,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']"
The Neverending Story (Die unendliche Geschichte),Michael Ende,M,1929,50,German,1979,16,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'German Literature']"
Becoming,Michelle Obama,F,1964,54,English,2018,14,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Autobiography', 'Politics', 'Biography Memoir']"
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,M,1905,30,Russian,1935,24,"['Classics', 'Russian Literature', 'Russia', 'Fiction', 'Novels', 'Historical', 'Roman', 'Nobel Prize', 'Literature']"
Tuesdays with Morrie,Mitch Albom,M,1958,39,English,1997,14,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Inspirational', 'Philosophy', 'Self Help']"
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,M,1869,60,Gujarati,1929,10,"['Biography', 'Nonfiction', 'History', 'Autobiography', 'India', 'Philosophy', 'Memoir', 'Politics', 'Biography Memoir', 'Spirituality']"
Long Walk to Freedom,Nelson Mandela,M,1918,76,English,1994,14,"['Biography', 'Nonfiction', 'History', 'Africa', 'Autobiography', 'Memoir', 'Politics']"
The Horse Whisperer,Nicholas Evans,M,1950,45,English,1995,16,"['Fiction', 'Romance', 'Animals', 'Horses', 'Contemporary', 'Drama', 'Adult']"
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,M,1904,28,Russian,1932,36.4,"['Fiction', 'Classics', 'Russian Literature', 'Russia', 'Literature', 'War', 'Novels', 'Historical Fiction', 'Politics', 'Historical']"
The Power of Positive Thinking,Norman Vincent Peale,M,1898,54,English,1952,20,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Business', 'Philosophy', 'Spirituality']"
No Longer Human (人間失格),Osamu Dazai,M,1909,39,Japanese,1948,12,"['Fiction', 'Classics', 'Japanese Literature', 'Japan', 'Literature', 'Novels', 'Asian Literature']"
Autobiography of a Yogi (योगी कथामृत),Paramahansa Yogananda,M,1893,53,Hindi,1946,20,"['Spirituality', 'Biography', 'Nonfiction', 'Philosophy', 'Religion', 'Autobiography', 'Memoir']"
The Front Runner,Patricia Nell Warren,F,1936,38,English,1974,10,"['LGBT', 'Fiction', 'Gay', 'Romance', 'M M Romance', 'Queer', 'Sports', 'Classics', 'Gay Fiction', 'Historical']"
Perfume (Das Parfum),Patrick Süskind,M,1949,36,German,1985,15,"['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Mystery', 'Thriller', 'Crime']"
The Girl on the Train,Paula Hawkins,F,1972,43,English,2015,23,"['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Contemporary']"
The Alchemist (O Alquimista),Paulo Coelho,M,1947,41,Portuguese,1988,65,"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Self Help']"
Jaws,Peter Benchley,M,1940,34,English,1974,20,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Adventure', 'Suspense', 'Audiobook']"
